GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	SLIMMED FROM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A7UDM2	CFM2	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N48	4577	IntAct		F
UniProtKB	B0KZ40	PSY3	enables	GO:0016740	GO:0016767	geranylgeranyl-diphosphate geranylgeranyltransferase activity	ECO:0000314	IDA	PMID:18162592		4577	UniProt		F
UniProtKB	B0KZ40	PSY3	enables	GO:0016787	GO:0046905	15-cis-phytoene synthase activity	ECO:0000314	IDA	PMID:18162592		4577	UniProt		F
UniProtKB	B1P758	FDX5	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:18632977	UniProtKB:Q8JNK2	4577	AgBase		F
UniProtKB	B2C4D0	TPS23	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:28428873		4577	UniProt		F
UniProtKB	B2C4D0	TPS23	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:18296628		4577	UniProt		F
UniProtKB	B2LXS7	WHY1	enables	GO:0003677	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt		F
UniProtKB	B2LXS7	WHY1	enables	GO:0003723	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:18676978		4577	UniProt		F
UniProtKB	B4F8I5	COAC2	enables	GO:0005215	GO:0015228	coenzyme A transmembrane transporter activity	ECO:0000316	IGI	PMID:23590975	UniProtKB:P38702	4577	UniProt		F
UniProtKB	B4F8Z1	ATP4	enables	GO:0003723	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:22708543		4577	UniProt		F
UniProtKB	B4F9A4	DMAS1	enables	GO:0003824	GO:0033707	3''-deamino-3''-oxonicotianamine reductase activity	ECO:0000314	IDA	PMID:16926158		4577	UniProt		F
UniProtKB	B4FIJ0	GRMZM2G118515	enables	GO:0005215	GO:0090422	thiamine pyrophosphate transmembrane transporter activity	ECO:0000314	IDA	PMID:22426856		4577	UniProt		F
UniProtKB	B4FK49	ndpk1	enables	GO:0016301	GO:0004550	nucleoside diphosphate kinase activity	ECO:0000314	IDA	PMID:25679041		4577	UniProt		F
UniProtKB	B4FNK8	CM1	enables	GO:0005515	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:21976020	UniProtKB:B4FNK8	4577	UniProt		F
UniProtKB	B4FNX4	MYB31	enables	GO:0003677	GO:0000976	transcription cis-regulatory region binding	ECO:0000314	IDA	PMID:16941210		4577	UniProt		F
UniProtKB	B4FNX4	MYB31	enables	GO:0003700	GO:0003700	DNA-binding transcription factor activity	ECO:0000314	IDA	PMID:16941210		4577	UniProt		F
UniProtKB	B4FNX4	MYB31	enables	GO:0003677	GO:0043565	sequence-specific DNA binding	ECO:0000314	IDA	PMID:16941210		4577	UniProt		F
UniProtKB	B4FRJ1	100272900	enables	GO:0003824	GO:0016615	malate dehydrogenase activity	ECO:0000314	IDA	PMID:21889053		4577	CACAO		F
UniProtKB	B4FUP5	CM2	enables	GO:0003824	GO:0004106	chorismate mutase activity	ECO:0000314	IDA	PMID:21976020		4577	UniProt		F
UniProtKB	B4FUP5	CM2	enables	GO:0005515	GO:0042803	protein homodimerization activity	ECO:0000353	IPI	PMID:21976020	UniProtKB:B4FUP5	4577	UniProt		F
UniProtKB	B4FVP3	CYP71Z18	enables	GO:0003824	GO:0010333	terpene synthase activity	ECO:0000314	IDA	PMID:26471326		4577	UniProt		F
UniProtKB	B4FVP3	CYP71Z18	enables	GO:0003824	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	ECO:0000314	IDA	PMID:26471326		4577	UniProt		F
UniProtKB	B4FX20	100286384	enables	GO:0005515	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:19450586	UniProtKB:B4FX20	4577	IntAct		F
UniProtKB	B4FZ81	PTAC12	enables	GO:0003677	GO:0003697	single-stranded DNA binding	ECO:0000314	IDA	PMID:25599833		4577	UniProt		F
UniProtKB	B4FZ81	PTAC12	enables	GO:0003723	GO:0003727	single-stranded RNA binding	ECO:0000314	IDA	PMID:25599833		4577	UniProt		F
UniProtKB	B4FZ94	100274139	enables	GO:0005515	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:31133698	UniProtKB:B4FZ94	4577	IntAct		F
UniProtKB	B4G072	BX9	enables	GO:0016740	GO:0047254	2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2-D-glucosyltransferase activity	ECO:0000314	IDA	PMID:11851909		4577	UniProt		F
UniProtKB	B6TGM8	100283283	enables	GO:0016301	GO:0004672	protein kinase activity	ECO:0000315	IMP	PMID:23469147		4577	CACAO		F
UniProtKB	B6TTV8	WTF1	enables	GO:0003723	GO:0003723	RNA binding	ECO:0000314	IDA	PMID:19251672		4577	UniProt		F
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:A6YSL1	4577	UniProt		F
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:A6YSL1	4577	IntAct		F
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N48	4577	IntAct		F
UniProtKB	B6TTV8	WTF1	enables	GO:0005515	GO:0005515	protein binding	ECO:0000353	IPI	PMID:19251672	UniProtKB:Q84N49	4577	IntAct		F
UniProtKB	B8Y6I0	PPR10	enables	GO:0005515	GO:0042802	identical protein binding	ECO:0000353	IPI	PMID:24162847	UniProtKB:B8Y6I0	4577	IntAct		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0003824	GO:0008802	betaine-aldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0003824	GO:0019145	aminobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0005488	GO:0031402	sodium ion binding	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0005515	GO:0042803	protein homodimerization activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0003824	GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C0P9J6	AMADH1A	enables	GO:0003824	GO:0047107	gamma-guanidinobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C6KEM4	AMADH2	enables	GO:0003824	GO:0019145	aminobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C6KEM4	AMADH2	enables	GO:0003824	GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	C6KEM4	AMADH2	enables	GO:0003824	GO:0047107	gamma-guanidinobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	D4HR93	PR10.1	enables	GO:0004518	GO:0004540	RNA nuclease activity	ECO:0000314	IDA	PMID:19682768		4577	AgBase		F
UniProtKB	G5DDC2	AMADH1B	enables	GO:0003824	GO:0008802	betaine-aldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	G5DDC2	AMADH1B	enables	GO:0003824	GO:0019145	aminobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
UniProtKB	G5DDC2	AMADH1B	enables	GO:0003824	GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity	ECO:0000314	IDA	PMID:23408433		4577	UniProt		F
