GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	SLIMMED FROM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	O48950	TATB	located_in	GO:0016020	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:9367960		4577	UniProt		C
UniProtKB	O48950	TATB	located_in	GO:0009579	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10402459		4577	UniProt		C
UniProtKB	O48950	TATB	located_in	GO:0009507	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10402459		4577	UniProt		C
UniProtKB	O48950	TATB	located_in	GO:0016020	GO:0009535	chloroplast thylakoid membrane	ECO:0000314	IDA	PMID:10402459		4577	UniProt		C
UniProtKB	O48950	TATB	involved_in	GO:0005622	GO:0045038	protein import into chloroplast thylakoid membrane	ECO:0000315	IMP	PMID:9367960		4577	UniProt		P
UniProtKB	O64411	MPAO1	located_in	GO:0005618	GO:0009505	plant-type cell wall	ECO:0000314	IDA	PMID:12586904		4577	UniProt		C
UniProtKB	O64411	MPAO1	located_in	GO:0005576	GO:0048046	apoplast	ECO:0000314	IDA	PMID:12586904		4577	UniProt		C
UniProtKB	O64960	hsp22	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:9501143		4577	AgBase		C
UniProtKB	O64964	TIP1-1	located_in	GO:0005773	GO:0009705	plant-type vacuole membrane	ECO:0000314	IDA	PMID:9701570		4577	AgBase		C
UniProtKB	O64964	TIP1-1	located_in	GO:0016020	GO:0009705	plant-type vacuole membrane	ECO:0000314	IDA	PMID:9701570		4577	AgBase		C
UniProtKB	O82423	541677	located_in	GO:0005739	GO:0005759	mitochondrial matrix	ECO:0000314	IDA	PMID:9756901		4577	AgBase		C
UniProtKB	O82424	O82424	located_in	GO:0005739	GO:0005759	mitochondrial matrix	ECO:0000314	IDA	PMID:9756901		4577	AgBase		C
UniProtKB	P05494	ATPA	located_in	GO:0005739	GO:0031966	mitochondrial membrane	ECO:0000314	IDA	PMID:1973526		4577	AgBase		C
UniProtKB	P05494	ATPA	located_in	GO:0016020	GO:0031966	mitochondrial membrane	ECO:0000314	IDA	PMID:1973526		4577	AgBase		C
UniProtKB	P08440	P08440	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:1664617		4577	AgBase		C
UniProtKB	P09233	SODA.4	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:1516816		4577	AgBase		C
UniProtKB	P12950	DHN1	located_in	GO:0016020	GO:0012506	vesicle membrane	ECO:0000314	IDA	PMID:12529538		4577	CAFA		C
UniProtKB	P18123	CAT3	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:12223775		4577	AgBase		C
UniProtKB	P21569	CYP	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000315	IMP	PMID:8645184		4577	AgBase		C
UniProtKB	P24345	KN-1	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:17965274		4577	UniProt		C
UniProtKB	P24345	KN-1	located_in	GO:0005737	GO:0005737	cytoplasm	ECO:0000314	IDA	PMID:17965274		4577	UniProt		C
UniProtKB	P24345	KN-1	located_in	GO:0005856	GO:0015630	microtubule cytoskeleton	ECO:0000314	IDA	PMID:17965274		4577	UniProt		C
UniProtKB	P27347	MNB1B	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:8340424		4577	AgBase		C
UniProtKB	P27787	FDX1	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:16668395		4577	AgBase		C
UniProtKB	P27788	FDX3	located_in	GO:0009507	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:16668395		4577	AgBase		C
UniProtKB	P27788	FDX3	located_in	GO:0009536	GO:0009578	etioplast stroma	ECO:0000314	IDA	PMID:16668395		4577	AgBase		C
UniProtKB	P29022	CHIA	located_in	GO:0005576	GO:0005576	extracellular region	ECO:0000314	IDA	PMID:28328103		4577	UniProt		C
UniProtKB	P29185	CPN60I	located_in	GO:0005739	GO:0005759	mitochondrial matrix	ECO:0000314	IDA	PMID:1973526		4577	AgBase		C
UniProtKB	P35081	PRO1	involved_in	GO:0005622	GO:0007097	nuclear migration	ECO:0000314	IDA	PMID:9634586		4577	AgBase		P
UniProtKB	P35081	PRO1	located_in	GO:0005856	GO:0005856	cytoskeleton	ECO:0000314	IDA	PMID:10760246		4577	UniProt		C
UniProtKB	P35082	PRO2	involved_in	GO:0005622	GO:0007097	nuclear migration	ECO:0000314	IDA	PMID:9581573		4577	AgBase		P
UniProtKB	P35083	PRO3	involved_in	GO:0005622	GO:0007097	nuclear migration	ECO:0000314	IDA	PMID:9581573		4577	AgBase		P
UniProtKB	P38564	MNB1A	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:8340424		4577	AgBase		C
UniProtKB	P42057	POR1	located_in	GO:0005739	GO:0031966	mitochondrial membrane	ECO:0000314	IDA	PMID:16664537		4577	AgBase		C
UniProtKB	P42057	POR1	located_in	GO:0016020	GO:0031966	mitochondrial membrane	ECO:0000314	IDA	PMID:16664537		4577	AgBase		C
UniProtKB	P46252	RPP2A	part_of	GO:0005840	GO:0022625	cytosolic large ribosomal subunit	ECO:0000314	IDA	PMID:9276949		4577	AgBase		C
UniProtKB	P46252	RPP2A	part_of	GO:0005829	GO:0022625	cytosolic large ribosomal subunit	ECO:0000314	IDA	PMID:9276949		4577	AgBase		C
UniProtKB	P49727	P49727	located_in	GO:0005739	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:1961737		4577	AgBase		C
UniProtKB	P52855	RPP1A	part_of	GO:0005840	GO:0022625	cytosolic large ribosomal subunit	ECO:0000314	IDA	PMID:9276949		4577	AgBase		C
UniProtKB	P52855	RPP1A	part_of	GO:0005829	GO:0022625	cytosolic large ribosomal subunit	ECO:0000314	IDA	PMID:9276949		4577	AgBase		C
UniProtKB	P93647	LON1	involved_in	GO:0005739	GO:0032042	mitochondrial DNA metabolic process	ECO:0000314	IDA	PMID:9620272		4577	AgBase		P
UniProtKB	P93647	LON1	involved_in	GO:0005739	GO:0032042	mitochondrial DNA metabolic process	ECO:0000316	IGI	PMID:9620272	UniProtKB:P36775	4577	AgBase		P
UniProtKB	Q10724	Q10724	located_in	GO:0005622	GO:0043231	intracellular membrane-bounded organelle	ECO:0000314	IDA	PMID:8645184		4577	AgBase		C
UniProtKB	Q29VN2	TPS2	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:27662898		4577	UniProt		C
UniProtKB	Q41870	PIP1-1	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q41870	PIP1-1	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q43712	CRT1	located_in	GO:0005737	GO:0042735	endosperm protein body	ECO:0000314	IDA	PMID:17882422		4577	AgBase		C
UniProtKB	Q43712	CRT1	involved_in	GO:0005783	GO:0032469	endoplasmic reticulum calcium ion homeostasis	ECO:0000315	IMP	PMID:11457960		4577	AgBase		P
UniProtKB	Q4QSC8	SGO1	located_in	GO:0005622	GO:0000775	chromosome, centromeric region	ECO:0000314	IDA	PMID:15916952		4577	UniProt		C
UniProtKB	Q4QSC8	SGO1	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:15916952		4577	UniProt		C
UniProtKB	Q5EUD4	PDIL5-1	NOT|located_in	GO:0005783	GO:0005783	endoplasmic reticulum	ECO:0000314	IDA	PMID:15684019		4577	AgBase		C
UniProtKB	Q5EUD4	PDIL5-1	NOT|located_in	GO:0005737	GO:0042735	endosperm protein body	ECO:0000314	IDA	PMID:15684019		4577	AgBase		C
UniProtKB	Q6EI12	PSY2	located_in	GO:0009507	GO:0010287	plastoglobule	ECO:0000314	IDA	PMID:23023170		4577	UniProt		C
UniProtKB	Q6W2J0	PHS1	located_in	GO:0005737	GO:0005737	cytoplasm	ECO:0000314	IDA	PMID:19918061		4577	UniProt		C
UniProtKB	Q6XZ78	FRK2	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:11432937		4577	AgBase		C
UniProtKB	Q84RL7	PIP2-1	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q84ZW8	TPS1	located_in	GO:0009507	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:26620527		4577	UniProt		C
UniProtKB	Q8L5G8	Q8L5G8	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:11432937		4577	AgBase		C
UniProtKB	Q8RVL1	DEK1	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17933905		4577	UniProt		C
UniProtKB	Q8RVL1	DEK1	located_in	GO:0005768	GO:0010008	endosome membrane	ECO:0000314	IDA	PMID:17933905		4577	UniProt		C
UniProtKB	Q8RVL1	DEK1	located_in	GO:0016020	GO:0010008	endosome membrane	ECO:0000314	IDA	PMID:17933905		4577	UniProt		C
UniProtKB	Q940E8	FEA2	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:11641280		4577	UniProt		C
UniProtKB	Q94LW1	ZmRR9	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9AQU5	PIP1-3	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9AQU5	PIP1-3	located_in	GO:0005886	GO:0005886	plasma membrane	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9ATN0	PIP1-6	located_in	GO:0005829	GO:0005829	cytosol	ECO:0000314	IDA	PMID:17636130		4577	AgBase		C
UniProtKB	Q9AV93	ZmRR8	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
UniProtKB	Q9AV93	ZmRR8	involved_in	GO:0005622	GO:0000160	phosphorelay signal transduction system	ECO:0000314	IDA	PMID:12856940		4577	AgBase		P
UniProtKB	Q9FR39	PRO5	involved_in	GO:0005622	GO:0007097	nuclear migration	ECO:0000315	IMP	PMID:11485551		4577	AgBase		P
UniProtKB	Q9FRY9	ZmRR6	located_in	GO:0005634	GO:0005634	nucleus	ECO:0000314	IDA	PMID:12856940		4577	AgBase		C
