GOID,ONTOLOGY,TERM,LINK
GO:0000152,CC,nuclear ubiquitin ligase complex,http://purl.obolibrary.org/obo/GO_0000152
GO:0000153,CC,cytoplasmic ubiquitin ligase complex,http://purl.obolibrary.org/obo/GO_0000153
GO:0000154,BP,rRNA modification,http://purl.obolibrary.org/obo/GO_0000154
GO:0000155,MF,phosphorelay sensor kinase activity,http://purl.obolibrary.org/obo/GO_0000155
GO:0000156,MF,phosphorelay response regulator activity,http://purl.obolibrary.org/obo/GO_0000156
GO:0000159,CC,protein phosphatase type 2A complex,http://purl.obolibrary.org/obo/GO_0000159
GO:0000160,BP,phosphorelay signal transduction system,http://purl.obolibrary.org/obo/GO_0000160
GO:0000162,BP,tryptophan biosynthetic process,http://purl.obolibrary.org/obo/GO_0000162
GO:0000164,CC,protein phosphatase type 1 complex,http://purl.obolibrary.org/obo/GO_0000164
GO:0000165,BP,MAPK cascade,http://purl.obolibrary.org/obo/GO_0000165
GO:0000166,MF,nucleotide binding,http://purl.obolibrary.org/obo/GO_0000166
GO:0000170,MF,sphingosine hydroxylase activity,http://purl.obolibrary.org/obo/GO_0000170
GO:0000171,MF,ribonuclease MRP activity,http://purl.obolibrary.org/obo/GO_0000171
GO:0000172,CC,ribonuclease MRP complex,http://purl.obolibrary.org/obo/GO_0000172
GO:0000175,MF,3'-5'-exoribonuclease activity,http://purl.obolibrary.org/obo/GO_0000175
GO:0000176,CC,nuclear exosome (RNase complex),http://purl.obolibrary.org/obo/GO_0000176
GO:0000177,CC,cytoplasmic exosome (RNase complex),http://purl.obolibrary.org/obo/GO_0000177
GO:0000178,CC,exosome (RNase complex),http://purl.obolibrary.org/obo/GO_0000178
GO:0000179,MF,"rRNA (adenine-N6,N6-)-dimethyltransferase activity",http://purl.obolibrary.org/obo/GO_0000179
GO:0000182,MF,rDNA binding,http://purl.obolibrary.org/obo/GO_0000182
GO:0000183,BP,rDNA heterochromatin assembly,http://purl.obolibrary.org/obo/GO_0000183
GO:0000184,BP,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",http://purl.obolibrary.org/obo/GO_0000184
GO:0000209,BP,protein polyubiquitination,http://purl.obolibrary.org/obo/GO_0000209
GO:0000210,MF,NAD+ diphosphatase activity,http://purl.obolibrary.org/obo/GO_0000210
GO:0000212,BP,meiotic spindle organization,http://purl.obolibrary.org/obo/GO_0000212
GO:0000213,MF,tRNA-intron endonuclease activity,http://purl.obolibrary.org/obo/GO_0000213
GO:0000214,CC,tRNA-intron endonuclease complex,http://purl.obolibrary.org/obo/GO_0000214
GO:0000215,MF,tRNA 2'-phosphotransferase activity,http://purl.obolibrary.org/obo/GO_0000215
GO:0000217,MF,DNA secondary structure binding,http://purl.obolibrary.org/obo/GO_0000217
GO:0000220,CC,"vacuolar proton-transporting V-type ATPase, V0 domain",http://purl.obolibrary.org/obo/GO_0000220
GO:0000221,CC,"vacuolar proton-transporting V-type ATPase, V1 domain",http://purl.obolibrary.org/obo/GO_0000221
